"Price","LotArea","Bathrooms","Bedrooms","Size"
147,9600,1,3,2226
265.9,9037,2,2,2968
135,7000,1,2,2268
122,9819,1,3,1800
110,7677,1,2,1546
157,10200,2,4,2868
175,8285,2.5,3,3474
82,10206,1,2,1888
140.5,14357,1,2,2374
203.135,19645,2.5,3,3304
185,3907,1,1,2068
279.5,10652,2,3,2988
137,9142,2,4,3856
135,6500,1.5,3,2254
187,8304,2.5,3,3674
239.5,9828,2.5,3,4040
144,2179,2.5,3,2912
184.5,5122,2,1,2612
164,4500,2,2,2432
110.5,3880,1,2,1732
260.261,11830,2,3,3084
457.347,16023,3.5,3,5596
157.5,9360,1,2,1952
200,22002,1.5,3,3304
128.5,8300,1,3,1904
132.5,7758,1,3,1998
177.594,7713,2.5,3,2912
108.5,6000,1,2,1920
244,12224,2.5,3,4108
154,7500,1.5,3,2492
110,5684,1,2,1626
135,9723,1,2,2016
228.5,11287,2.5,3,3964
217,13426,2.5,3,3558
240.9,7000,2.5,3,3768
60,8400,1,1,876
239,11923,2,2,3600
169,15300,1,2,2528
108,11040,1.5,3,2672
310,11003,2.5,3,4014
150,9991,2,3,3240
169.5,7590,2,4,3624
228,11927,2,3,3184
168,14175,1.5,3,2874
180.5,6718,2,2,2624
