price,number_of_reviews,,,,,
70,65,,,,,
17,33,,,,,
80,2,,,,,
115,64,,,,,
25,136,,,,,
65,168,,,,,
54,8,,,,,
90,38,,,,,
40,14,,,,,
45,57,,,,,
65,85,,,,,
70,18,,,,,
75,3,,,,,
75,6,,,,,
110,95,,,,,
85,14,,,,,
80,5,,,,,
63,53,,,,,
102,33,,,,,
60,108,,,,,
60,178,,,,,
100,140,,,,,
110,195,,,,,
50,86,,,,,
32,594,,,,,
25,178,,,,,
60,3,,,,,
65,57,,,,,
20,0,,,,,
194,8,,,,,
95,17,,,,,
75,167,,,,,
40,8,,,,,
75,39,,,,,
75,103,,,,,
57,431,,,,,
85,71,,,,,
35,183,,,,,
29,218,,,,,
67,509,,,,,
200,69,,,,,
26,81,,,,,
21,72,,,,,
80,22,,,,,
40,4,,,,,
69,82,,,,,
65,8,,,,,
45,17,,,,,
25,63,,,,,
90,190,,,,,
150,4,,,,,
60,41,,,,,
60,193,,,,,
80,24,,,,,
80,11,,,,,
19,93,,,,,
90,6,,,,,
30,12,,,,,
30,40,,,,,
89,0,,,,,
70,210,,,,,
77,253,,,,,
25,24,,,,,
75,141,,,,,
140,0,,,,,
40,43,,,,,
140,97,,,,,
85,265,,,,,
50,6,,,,,
30,33,,,,,
95,175,,,,,
55,100,,,,,
95,151,,,,,
145,195,,,,,
29,166,,,,,
75,8,,,,,
30,141,,,,,
25,57,,,,,
55,462,,,,,
30,0,,,,,
25,77,,,,,
80,135,,,,,
98,47,,,,,
50,86,,,,,
83,35,,,,,
145,120,,,,,
74,445,,,,,
28,31,,,,,
66,96,,,,,
480,16,,,,,
75,58,,,,,
90,28,,,,,
72,84,,,,,
59,35,,,,,
59,62,,,,,
169,94,,,,,
85,26,,,,,
30,11,,,,,
58,167,,,,,
20,33,,,,,
60,16,,,,,
43,51,,,,,
60,10,,,,,
110,38,,,,,
80,90,,,,,
68,298,,,,,
155,194,,,,,
90,13,,,,,
116,28,,,,,
59,55,,,,,
75,221,,,,,
115,42,,,,,
63,42,,,,,
100,105,,,,,
24,164,,,,,
35,7,,,,,
63,124,,,,,
82,146,,,,,
22,103,,,,,
55,164,,,,,
79,31,,,,,
75,52,,,,,
65,30,,,,,
59,99,,,,,
81,4,,,,,
70,4,,,,,
70,4,,,,,
130,27,,,,,
135,42,,,,,
52,305,,,,,
77,128,,,,,
70,38,,,,,
100,149,,,,,
49,364,,,,,
70,156,,,,,
22,55,,,,,
24,137,,,,,
50,17,,,,,
30,30,,,,,
70,28,,,,,
105,114,,,,,
77,30,,,,,
66,32,,,,,
24,137,,,,,
82,127,,,,,
88,39,,,,,
85,11,,,,,
24,114,,,,,
56,383,,,,,
155,139,,,,,
48,96,,,,,
66,27,,,,,
75,153,,,,,
38,582,,,,,
100,2,,,,,
43,13,,,,,
40,4,,,,,
200,4,,,,,
120,173,,,,,
80,23,,,,,
35,100,,,,,
90,23,,,,,
25,190,,,,,
25,8,,,,,
70,501,,,,,
30,7,,,,,
85,14,,,,,
48,264,,,,,
55,87,,,,,
30,4,,,,,
81,14,,,,,
82,28,,,,,
112,53,,,,,
75,11,,,,,
85,60,,,,,
90,27,,,,,
59,243,,,,,
75,45,,,,,
83,38,,,,,
81,34,,,,,
82,19,,,,,
82,130,,,,,
83,15,,,,,
50,18,,,,,
85,7,,,,,
350,14,,,,,
88,8,,,,,
60,60,,,,,
85,324,,,,,
190,27,,,,,
69,189,,,,,
50,201,,,,,
60,192,,,,,
97,143,,,,,
110,0,,,,,
45,73,,,,,
52,347,,,,,
84,22,,,,,
60,4,,,,,
17,27,,,,,
25,20,,,,,
63,112,,,,,
25,15,,,,,
40,8,,,,,
85,58,,,,,
30,0,,,,,
67,104,,,,,
75,79,,,,,
65,350,,,,,
19,1,,,,,
39,463,,,,,
34,483,,,,,
55,458,,,,,
24,372,,,,,
40,0,,,,,
70,3,,,,,
22,9,,,,,
56,224,,,,,
300,0,,,,,
23,34,,,,,
40,4,,,,,
38,60,,,,,
90,134,,,,,
99,34,,,,,
50,1,,,,,
65,216,,,,,
30,238,,,,,
33,2,,,,,
35,1,,,,,
105,64,,,,,
100,23,,,,,
57,157,,,,,
50,30,,,,,
20,195,,,,,
22,27,,,,,
30,0,,,,,
78,361,,,,,
95,318,,,,,
60,102,,,,,
67,225,,,,,
33,323,,,,,
85,30,,,,,
190,5,,,,,
165,53,,,,,
30,53,,,,,
105,378,,,,,
24,19,,,,,
155,114,,,,,
85,69,,,,,
30,7,,,,,
37,370,,,,,
75,455,,,,,
85,3,,,,,
110,2,,,,,
19,52,,,,,
29,36,,,,,
19,147,,,,,
25,11,,,,,
24,11,,,,,
45,3,,,,,
65,413,,,,,
70,7,,,,,
23,74,,,,,
60,97,,,,,
70,267,,,,,
60,25,,,,,
50,4,,,,,
140,184,,,,,
250,64,,,,,
75,1,,,,,
45,40,,,,,
197,27,,,,,
20,53,,,,,
16,44,,,,,
22,45,,,,,
25,0,,,,,
70,99,,,,,
39,311,,,,,
125,11,,,,,
40,53,,,,,
30,0,,,,,
65,24,,,,,
29,5,,,,,
30,85,,,,,
22,4,,,,,
45,78,,,,,
80,9,,,,,
75,87,,,,,
149,304,,,,,
45,7,,,,,
80,20,,,,,
210,51,,,,,
25,5,,,,,
20,1,,,,,
108,134,,,,,
155,61,,,,,
40,12,,,,,
75,109,,,,,
40,15,,,,,
23,72,,,,,
37,21,,,,,
98,151,,,,,
75,210,,,,,
75,145,,,,,
80,192,,,,,
60,45,,,,,
35,32,,,,,
65,209,,,,,
73,232,,,,,
25,10,,,,,
60,61,,,,,
70,11,,,,,
50,5,,,,,
69,512,,,,,
29,176,,,,,
23,426,,,,,
125,54,,,,,
99,19,,,,,
85,22,,,,,
72,73,,,,,
100,147,,,,,
55,593,,,,,
50,24,,,,,
22,1,,,,,
75,150,,,,,
60,28,,,,,
130,17,,,,,
60,1,,,,,
43,18,,,,,
80,174,,,,,
140,153,,,,,
140,19,,,,,
150,20,,,,,
50,15,,,,,
35,44,,,,,
50,2,,,,,
48,122,,,,,
194,13,,,,,
25,245,,,,,
110,98,,,,,
35,371,,,,,
250,89,,,,,
100,26,,,,,
85,246,,,,,
24,134,,,,,
75,23,,,,,
205,54,,,,,
59,406,,,,,
110,113,,,,,
50,209,,,,,
45,0,,,,,
135,236,,,,,
42,15,,,,,
59,385,,,,,
104,34,,,,,
100,13,,,,,
3,2019/4/7,,,,,
27,17,,,,,
100,185,,,,,
104,56,,,,,
145,87,,,,,
70,45,,,,,
59,398,,,,,
85,38,,,,,
65,78,,,,,
58,319,,,,,
61,122,,,,,
28,19,,,,,
48,5,,,,,
73,160,,,,,
35,34,,,,,
75,128,,,,,
49,192,,,,,
34,0,,,,,
50,0,,,,,
95,141,,,,,
145,22,,,,,
35,26,,,,,
40,30,,,,,
30,37,,,,,
40,40,,,,,
24,21,,,,,
33,43,,,,,
85,21,,,,,
80,118,,,,,
220,317,,,,,
65,41,,,,,
45,218,,,,,
80,229,,,,,
28,1,,,,,
20,162,,,,,
87,131,,,,,
30,0,,,,,
20,22,,,,,
85,233,,,,,
50,232,,,,,
65,197,,,,,
95,51,,,,,
129,122,,,,,
65,4,,,,,
59,361,,,,,
75,49,,,,,
12,4,,,,,
65,36,,,,,
65,8,,,,,
55,165,,,,,
110,159,,,,,
25,108,,,,,
67,218,,,,,
125,134,,,,,
25,469,,,,,
20,188,,,,,
130,3,,,,,
90,24,,,,,
96,6,,,,,
200,14,,,,,
65,12,,,,,
115,177,,,,,
62,32,,,,,
40,532,,,,,
49,76,,,,,
140,68,,,,,
60,1,,,,,
155,50,,,,,
