date,season,elo1_post
1920/9/26,1920,1516.108
1920/10/3,1920,1515.434
1920/10/3,1920,1542.135
1920/10/3,1920,1386.533
1920/10/3,1920,1516.803
1920/10/3,1920,1489.757
1920/10/3,1920,1515.278
1920/10/3,1920,1510.934
1920/10/10,1920,1510.527
1920/10/10,1920,1523.607
1920/10/10,1920,1559.405
1920/10/10,1920,1402.774
1920/10/10,1920,1527.799
1920/10/10,1920,1502.536
1920/10/10,1920,1510.196
1920/10/10,1920,1540.552
1920/10/10,1920,1305.377
1920/10/17,1920,1531.807
1920/10/17,1920,1512.265
1920/10/17,1920,1498.252
1920/10/17,1920,1547.362
1920/10/17,1920,1335.595
1920/10/17,1920,1343.231
1920/10/17,1920,1540.777
1920/10/17,1920,1523.251
1920/10/17,1920,1513.225
1920/10/24,1920,1521.291
1920/10/24,1920,1522.621
1920/10/24,1920,1484.888
1920/10/24,1920,1538.166
1920/10/24,1920,1321.666
1920/10/24,1920,1529.368
1920/10/24,1920,1558.607
1920/10/31,1920,1507.955
1920/10/31,1920,1284.46
1920/10/31,1920,1542.193
1920/10/31,1920,1515.204
1920/10/31,1920,1459.443
1920/10/31,1920,1545.894
1920/10/31,1920,1536.85
1920/10/31,1920,1276.143
1920/11/7,1920,1511.868
1920/11/7,1920,1551.359
1920/11/7,1920,1294.326
1920/11/7,1920,1429.088
1920/11/7,1920,1305.494
1920/11/7,1920,1540.573
1920/11/7,1920,1278.366
1920/11/11,1920,1307.111
1920/11/11,1920,1281.104
1920/11/14,1920,1308.39
1920/11/14,1920,1433.056
1920/11/14,1920,1567.27
1920/11/14,1920,1496.08
1920/11/14,1920,1338.188
1920/11/14,1920,1474.362
1920/11/14,1920,1524.675
1920/11/14,1920,1292.077
1920/11/14,1920,1553.555
1920/11/21,1920,1443.913
1920/11/21,1920,1549.69
1920/11/21,1920,1532.679
1920/11/21,1920,1280.853
1920/11/21,1920,1602.871
1920/11/21,1920,1532.273
1920/11/21,1920,1484.651
1920/11/25,1920,1617.382
1920/11/25,1920,1287.638
1920/11/25,1920,1301.446
1920/11/25,1920,1571.78
1920/11/25,1920,1337.527
1920/11/25,1920,1441.473
1920/11/28,1920,1284.673
1920/11/28,1920,1316.031
1920/11/28,1920,1537.98
1920/11/28,1920,1560.198
1920/11/28,1920,1431.594
1920/11/28,1920,1542.935
1920/11/28,1920,1508.242
1920/12/4,1920,1572.764
1920/12/5,1920,1573.136
1920/12/5,1920,1307.23
1920/12/5,1920,1508.607
1920/12/5,1920,1423.781
1920/12/5,1920,1288.817
1920/12/5,1920,1413.562
1920/12/11,1920,1330.771
1920/12/12,1920,1566.849
1920/12/18,1920,1278.682
1920/12/19,1920,1305.967
1921/9/25,1921,1609.332
1921/10/2,1921,1628.139
1921/10/2,1921,1548.174
1921/10/2,1921,1527.647
1921/10/2,1921,1497.179
1921/10/2,1921,1562.92
1921/10/2,1921,1336.032
1921/10/9,1921,1331.966
1921/10/9,1921,1512.456
1921/10/9,1921,1369.434
1921/10/9,1921,1499.555
1921/10/9,1921,1578.103
1921/10/10,1921,1556.684
1921/10/16,1921,1586.589
1921/10/16,1921,1564.096
1921/10/16,1921,1407.584
1921/10/16,1921,1477.948
1921/10/16,1921,1354.267
1921/10/16,1921,1522.793
1921/10/16,1921,1321.967
1921/10/16,1921,1473.248
1921/10/23,1921,1420.857
1921/10/23,1921,1305.261
1921/10/23,1921,1578.045
1921/10/23,1921,1486.511
1921/10/23,1921,1505.723
1921/10/23,1921,1508.256
1921/10/23,1921,1601.725
1921/10/30,1921,1490.395
1921/10/30,1921,1514.319
1921/10/30,1921,1400.301
1921/10/30,1921,1607.617
1921/10/30,1921,1684.292
1921/11/6,1921,1424.224
1921/11/6,1921,1499.133
1921/11/6,1921,1565.704
1921/11/6,1921,1615.786
1921/11/6,1921,1527.878
1921/11/6,1921,1583.267
1921/11/6,1921,1339.675
1921/11/6,1921,1468.554
1921/11/13,1921,1593.512
1921/11/13,1921,1502.9
1921/11/13,1921,1439.739
1921/11/13,1921,1471.592
1921/11/13,1921,1616.361
1921/11/20,1921,1522.689
1921/11/20,1921,1610.89
1921/11/20,1921,1606.507
1921/11/20,1921,1493.895
1921/11/20,1921,1480.836
1921/11/24,1921,1629.807
1921/11/24,1921,1598.148
1921/11/27,1921,1630.21
1921/11/27,1921,1610.429
1921/11/27,1921,1289.713
1921/11/27,1921,1380.782
1921/12/3,1921,1271.782
1921/12/3,1921,1651.616
1921/12/4,1921,1350.735
1921/12/4,1921,1623.205
1921/12/4,1921,1476.436
1921/12/11,1921,1641.262
1921/12/11,1921,1319.27
1921/12/18,1921,1307.796
1921/12/18,1921,1632.427
1922/10/1,1922,1520.451
1922/10/1,1922,1548.732
1922/10/1,1922,1584.553
1922/10/1,1922,1496.457
1922/10/1,1922,1520.492
1922/10/1,1922,1475.58
1922/10/1,1922,1598.264
1922/10/1,1922,1602.197
1922/10/8,1922,1428.647
1922/10/8,1922,1520.411
1922/10/8,1922,1510.074
1922/10/8,1922,1532.295
1922/10/8,1922,1319.588
1922/10/12,1922,1591.194
1922/10/15,1922,1551.226
1922/10/15,1922,1512.269
1922/10/15,1922,1633.287
1922/10/15,1922,1524.956
1922/10/15,1922,1349.001
1922/10/15,1922,1540.279
1922/10/15,1922,1590.722
1922/10/15,1922,1609.918
1922/10/22,1922,1348.95
1922/10/22,1922,1553.854
1922/10/22,1922,1521.344
1922/10/22,1922,1430.307
1922/10/22,1922,1648.3
1922/10/22,1922,1552.859
1922/10/22,1922,1571.238
1922/10/29,1922,1348.087
1922/10/29,1922,1559.724
1922/10/29,1922,1563.615
1922/10/29,1922,1451.153
1922/10/29,1922,1416.887
1922/10/29,1922,1639.378
1922/10/29,1922,1531.384
1922/10/29,1922,1534.361
1922/11/5,1922,1464.43
1922/11/5,1922,1632.025
1922/11/5,1922,1650.896
1922/11/5,1922,1575.341
1922/11/5,1922,1474.488
1922/11/5,1922,1424.894
1922/11/5,1922,1546.011
1922/11/11,1922,1489.644
1922/11/12,1922,1369.401
1922/11/12,1922,1445.025
1922/11/12,1922,1591.985
1922/11/12,1922,1564.38
1922/11/12,1922,1641.916
1922/11/12,1922,1655.435
1922/11/19,1922,1591.406
1922/11/19,1922,1544.45
1922/11/19,1922,1484.986
1922/11/19,1922,1663.899
1922/11/19,1922,1364.563
1922/11/26,1922,1535.457
1922/11/26,1922,1675.686
1922/11/26,1922,1495.011
1922/11/26,1922,1464.332
1922/11/26,1922,1567.396
1922/11/26,1922,1676.201
1922/11/30,1922,1285.68
1922/11/30,1922,1688.101
1922/11/30,1922,1417.24
1922/11/30,1922,1555.413
1922/11/30,1922,1500.827
1922/12/3,1922,1583.986
1922/12/3,1922,1532.446
1922/12/3,1922,1464.371
1922/12/3,1922,1693.301
1922/12/3,1922,1668.89
1922/12/10,1922,1527.397
1922/12/10,1922,1561.071
1923/9/30,1923,1653.496
1923/9/30,1923,1519.66
1923/9/30,1923,1414.986
1923/9/30,1923,1554.01
1923/9/30,1923,1569.972
1923/9/30,1923,1516.496
1923/9/30,1923,1320.823
1923/9/30,1923,1476.907
1923/10/7,1923,1433.058
1923/10/7,1923,1407.648
1923/10/7,1923,1662.965
1923/10/7,1923,1574.618
1923/10/7,1923,1509.372
1923/10/7,1923,1558.594
1923/10/7,1923,1409.765
1923/10/7,1923,1464.881
1923/10/7,1923,1560.66
1923/10/7,1923,1530.153
1923/10/14,1923,1312.801
1923/10/14,1923,1409.331
1923/10/14,1923,1576.599
1923/10/14,1923,1352.988
1923/10/14,1923,1496.433
1923/10/14,1923,1675.697
1923/10/14,1923,1590.35
1923/10/14,1923,1430.016
1923/10/21,1923,1387.028
1923/10/21,1923,1510.544
1923/10/21,1923,1599.317
1923/10/21,1923,1580.998
1923/10/21,1923,1326.868
1923/10/21,1923,1539.114
1923/10/21,1923,1588.264
1923/10/21,1923,1473.885
1923/10/21,1923,1374.346
1923/10/28,1923,1405.414
1923/10/28,1923,1395.981
1923/10/28,1923,1354.966
1923/10/28,1923,1468.915
1923/10/28,1923,1610.223
1923/10/28,1923,1515.205
1923/10/28,1923,1699.07
1923/10/28,1923,1609.603
1923/11/4,1923,1615.967
1923/11/4,1923,1423.813
1923/11/4,1923,1360.787
1923/11/4,1923,1532.298
1923/11/4,1923,1595.392
1923/11/4,1923,1278.218
1923/11/11,1923,1626.162
1923/11/11,1923,1557.909
1923/11/11,1923,1425.711
1923/11/11,1923,1443.03
1923/11/11,1923,1362.29
1923/11/11,1923,1602.298
1923/11/11,1923,1458.54
1923/11/11,1923,1455.227
1923/11/11,1923,1296.689
1923/11/18,1923,1609.37
1923/11/18,1923,1444.221
1923/11/18,1923,1713.384
1923/11/18,1923,1634.677
1923/11/18,1923,1382.776
1923/11/18,1923,1565.126
1923/11/24,1923,1389.082
1923/11/24,1923,1275.326
1923/11/25,1923,1371.297
1923/11/25,1923,1640.497
1923/11/25,1923,1515.278
1923/11/25,1923,1436.688
1923/11/25,1923,1575.686
1923/11/25,1923,1559.741
1923/11/25,1923,1537.944
1923/11/29,1923,1734.669
1923/11/29,1923,1648.912
1923/11/29,1923,1551.188
1923/11/29,1923,1452.047
1923/11/29,1923,1451.697
1923/12/1,1923,1370.35
1923/12/2,1923,1569.945
1923/12/2,1923,1475.33
1923/12/2,1923,1744.757
1923/12/2,1923,1640.629
1923/12/2,1923,1464.584
1923/12/9,1923,1554.307
1923/12/9,1923,1324.302
1923/12/9,1923,1655.089
1923/12/9,1923,1454.769
1924/9/27,1924,1438.487
1924/9/28,1924,1555.517
1924/9/28,1924,1500.302
1924/9/28,1924,1431.591
1924/9/28,1924,1503.867
1924/10/4,1924,1452.599
1924/10/5,1924,1521.846
1924/10/5,1924,1431.44
1924/10/5,1924,1505.984
1924/10/5,1924,1554.403
1924/10/5,1924,1565.015
1924/10/5,1924,1423.647
1924/10/5,1924,1471.135
1924/10/5,1924,1377.407
1924/10/11,1924,1429.293
1924/10/12,1924,1460.495
1924/10/12,1924,1356.398
1924/10/12,1924,1576.289
1924/10/12,1924,1580.894
1924/10/12,1924,1523.129
1924/10/12,1924,1514.867
1924/10/12,1924,1538.31
1924/10/12,1924,1518.207
1924/10/18,1924,1455.974
1924/10/19,1924,1596.027
1924/10/19,1924,1559.196
1924/10/19,1924,1279.403
1924/10/19,1924,1496.825
1924/10/19,1924,1540.796
1924/10/19,1924,1535.564
